country,cases,deaths,meanAge,HIV.AIDS,Genital.herpes,Ascariasis,Malaria,Trichuriasis,Tuberculosis,popDen,rain,temp,GDPpc,PerUrb,HCexpend,invSimp,Hookworm,Schistosomiasis,Lymphatic.filariasis,IDBurd,tests,Diabetes,cardioDR,spatLag,reg,trans,PropOver 70,AirConnectivityIndex
Eritrea,656,2,20.3,0.003884645,0.174672616,0.020338457,0.012100602,0.052311985,0.242417038,65.94681433,22.56127292,26.94000224,2048.441188,45.8883214,1994.317434,5.31396,0.118767289,0.039476449,0.00370359,952438.16,6409.755439,6.05,311.11,3387.966667,Afri,comm,NA,0.03
Estonia,36794,357,43.7,0.002565861,0.164118541,0,0,0,0.156131064,30.41124914,55.74426596,6.166056154,20662.39145,68.7254,20662.39145,2.738242,0,0,0,12877.44777,116647.326,4.02,255.569,33141.65,Euro,clust,19.99180778,0.06
Eswatini,13993,523,23.7,0.195835479,0.269845843,0.012111648,6.09E-04,0.054632396,0.24507416,66.05761628,66.01406798,20.46310801,3804.169904,23.6328,3804.169904,5.828574,0.084862204,0.063254385,0,307435.9878,15849.956,3.94,333.436,3282.728333,Afri,comm,4.014789266,0.02
Ethiopia,1244,19,19.8,0.007571648,0.136782514,0.033916645,0.042854424,0.061230912,0.324872315,109.224559,67.66684324,23.15304776,750.6946936,20.3184,750.6946936,5.798468,0.207724673,0.197671421,0.005701588,13179967.4,3729.351,7.47,182.634,1662.075,Afri,comm,3.516690455,0.01
Fiji,62,2,29.9,5.39E-04,0.175090956,0.026101208,0,0.052187617,0.382663735,48.35703339,239.7889574,24.32588622,5927.294145,55.7402,5927.294145,3.812702,0.011796247,0,0.10562771,28795.92277,5273.6,14.49,412.82,10043.65,WPac,spor,5.624229594,0.01
Finland,8658,127,42.8,2.60E-04,0.115729409,0,0,0,0.077641147,18.14854727,46.89010253,2.402187596,46343.86227,85.3306,46343.86227,2.271507,0,0,0,23073.58383,101950.891,5.76,153.507,32310.1125,Euro,comm,22.14064462,0.06
France,50339,1211,41.7,0.001652556,0.114523888,0,0,0,0.077022279,47.11922029,70.20377468,11.54132609,38922.54789,80.181,38922.54789,2.344204,0,0,0,446307.4672,102861.7713,4.77,86.06,68067.8575,Euro,comm,20.39137028,0.12
Gabon,5318,32,21,0.028935847,0.282017884,0.011189046,0.185191235,0.0440481,0.267156045,8.224764233,151.18125,25.29725769,7464.6409,88.9528,7464.6409,5.581314,0.009838501,0.230453427,0.014840602,190270.2506,19146.0735,7.2,259.967,3064.195,Afri,comm,3.544727257,0.02
Gambia,1780,56,21.8,0.011759807,0.133776567,0.054937772,0.026574461,0.038906579,0.165620608,225.3065217,82.3163075,27.97866699,708.3577634,60.5892,708.3577634,6.567363,0.033643685,0.110079033,0.002467677,263611.1524,1825.471,1.91,331.43,9713.196667,Afri,comm,2.560925431,0.02
Georgia,65943,829,38.6,0.001288523,0.109937943,0.015369056,0,0.001932838,0.227950543,65.19733021,78.6664891,6.957606122,4370.769825,58.2374,4370.769825,2.964227,0.005581159,0,0,44733.287,45346.40257,7.11,496.218,23537.6875,Euro,comm,15.06105563,0.04
Germany,27355,742,47.8,9.91E-04,0.146411659,0,0,0,0.081853779,237.3075967,60.1511108,9.429345385,44400.56462,77.2746,44400.56462,2.156963,0,0,0,616747.0957,13645.33,8.31,156.139,63751.525,Euro,comm,21.56299232,0.12
Ghana,2302,15,21.4,0.010017413,0.173941494,0.031815474,0.192118039,0.02306386,0.2308767,130.8214292,96.05532394,27.62778301,2021.120124,55.4018,2021.120124,6.786804,0.090188468,0.130672723,0.024582304,4496573.237,5708.871,4.97,298.245,1779.394,Afri,comm,3.097322178,0.02
Greece,15790,575,45.3,4.47E-04,0.103239767,0,0,0,0.083077678,83.26518231,53.54714327,14.30444054,19024.2586,78.7206,19024.2586,2.491165,0,0,0,97399.25411,73948.978,4.55,175.695,28167.87714,Euro,comm,21.94147013,0.06
