country,popDen,rain,PerUrb,HCexpend,Diabetes,cardioDR,spatLag,reg,trans,pop,PathCompPC2,PathCompPC3,ageDivPC1,cases,deaths,log_tests,log_cases,log_pop,IDburd_perMil
Guinea-Bissau,66.65394737,128.0463331,42.9476,695.8105251,2.42,382.474,6220.946,Afri,comm,1967998,0.7802765656610297,-1.3110561888801349,2.1566646287604088,2781,45,8.652652191486222,7.930565854233965,14.492527340333657,193953.7161115001
Guyana,3.957348235,197.276783,26.5512,6053.713492,11.62,373.159,14377.7166666667,Amer,clust,786559,0.5339257605009962,2.617586534251112,0.6085303331501689,7982,180,10.00020111023579,8.984944285608679,13.575423014560116,41116.2983069293
Haiti,403.5985486,116.9728216,54.3278,1331.437916,6.65,430.548,18586.434,Amer,comm,11402533,0.7627605006659455,1.38165009966367,0.8045040907768635,11904,251,9.502741425924766,9.384629757072872,16.249346081665976,124247.03967092224
Honduras,85.68703191,160.9768376,56.4522,2435.840574,7.21,240.208,9712.614,Amer,comm,9904608,0.8702605104457994,1.8752680415157728,-0.8256102339604592,154571,3724,9.906173804827626,11.948408816686154,16.108510661359908,23055.451119317393
Hungary,107.9814868,52.13354734,71.0672,14709.05221,7.55,278.296,58919.5585714286,Euro,comm,9749763,0.4148263751427169,-0.3434088762592885,-1.611810783431883,382239,13367,10.872857352354677,12.853801346398827,16.092753534986286,6992.9704742566555
Iceland,3.518413965,92.33924551,93.7752,65051.14194,5.31,117.992,31932.41125,Euro,comm,366425,0.13463523866230911,-0.793494924160621,-1.2506299541356645,6464,31,12.063450525744486,8.774003600200931,12.811549140895501,5827.37525005117
India,454.9380726,86.6361734,33.6122,1885.05656,10.39,282.28,12718.7666666667,SEAs,clust,1380004385,1.524644700029924,1.165973479579233,0.07711099478043354,10846834,154560,10.172722505825336,16.199383798134622,21.04535251364671,58786.64510910232
Indonesia,147.7521901,239.5649064,54.6542,3752.321661,6.32,342.864,3355.014,SEAs,comm,273523621,0.7693413263053617,2.1492289066803685,-0.19677910686424568,1166031,31729,8.085610263091626,13.969116232160083,19.426898541727727,37560.97167198588
Iran (Islamic Republic of),50.22242012,17.60874276,74.3842,5307.030804,9.59,270.308,26210.817,EMed,comm,83992953,0.012168774596887255,0.9329247660632787,-0.6254324549728534,1473740,58543,9.443520824653652,14.203313945399332,18.24624346043124,9336.182562839527
Iraq,88.53057004,14.71366144,70.2888,5352.312834,8.83,218.612,25987.0928571429,EMed,comm,40222503,0.3985676952839524,-0.918369364381057,1.2374496490901064,630246,13113,9.975469738234604,13.353865498342204,17.509937173092446,14691.165467748238
